Date,spend_all,spend_acf,cityname,stateabbrev,city_pop2019
2025-03-31,0.246,0.139,Austin,TX,1273954
2025-03-31,0.193,0.0389,Charlotte,NC,1110356
2025-03-31,0.497,0.204,Boston,MA,803907
2025-03-31,0.239,0.0406,Denver,CO,727211
2025-03-31,0.313,0.181,Atlanta,GA,1063937
2025-03-31,0.177,0.21,Kansas City,MO,703011
2025-04-30,-0.0464,-0.132,Los Angeles,CA,10039107
2025-04-30,0.397,0.197,Chicago,IL,5150233
2025-04-30,0.207,0.112,Dallas,TX,2635516
2025-04-30,0.221,0.157,Austin,TX,1273954
2025-04-30,0.14,0.0194,Charlotte,NC,1110356
2025-04-30,0.409,0.187,Boston,MA,803907
2025-04-30,0.206,0.0439,Denver,CO,727211
2025-04-30,0.294,0.172,Atlanta,GA,1063937
2025-04-30,0.132,0.295,Kansas City,MO,703011
2025-05-31,-0.0402,-0.131,Los Angeles,CA,10039107
2025-05-31,0.378,0.244,Chicago,IL,5150233
2025-05-31,0.158,0.0119,Dallas,TX,2635516
2025-05-31,0.189,0.139,Austin,TX,1273954
2025-05-31,0.11,0.044,Charlotte,NC,1110356
2025-05-31,0.397,0.261,Boston,MA,803907
2025-05-31,0.171,0.054,Denver,CO,727211
2025-05-31,0.263,0.192,Atlanta,GA,1063937
2025-05-31,0.153,0.273,Kansas City,MO,703011
2025-06-30,-0.0424,-0.152,Los Angeles,CA,10039107
2025-06-30,0.393,0.223,Chicago,IL,5150233
2025-06-30,0.193,-0.0174,Dallas,TX,2635516
2025-06-30,0.179,0.0739,Austin,TX,1273954
2025-06-30,0.14,-0.00326,Charlotte,NC,1110356
2025-06-30,0.496,0.244,Boston,MA,803907
2025-06-30,0.186,-0.00627,Denver,CO,727211
2025-06-30,0.289,0.089,Atlanta,GA,1063937
2025-06-30,0.149,0.178,Kansas City,MO,703011
2025-07-31,-0.00977,-0.147,Los Angeles,CA,10039107
2025-07-31,0.418,0.21,Chicago,IL,5150233
2025-07-31,0.221,-0.00444,Dallas,TX,2635516
2025-07-31,0.215,0.103,Austin,TX,1273954
2025-07-31,0.153,0.0167,Charlotte,NC,1110356
2025-07-31,0.469,0.224,Boston,MA,803907
2025-07-31,0.199,0.00892,Denver,CO,727211
2025-07-31,0.301,0.0778,Atlanta,GA,1063937
2025-07-31,0.184,0.219,Kansas City,MO,703011
2025-08-31,-0.0349,-0.162,Los Angeles,CA,10039107
2025-08-31,0.43,0.191,Chicago,IL,5150233
2025-08-31,0.219,0.00373,Dallas,TX,2635516
2025-08-31,0.198,0.111,Austin,TX,1273954
2025-08-31,0.144,0.0547,Charlotte,NC,1110356
2025-08-31,0.437,0.137,Boston,MA,803907
2025-08-31,0.187,0.033,Denver,CO,727211
2025-08-31,0.308,0.0984,Atlanta,GA,1063937
2025-08-31,0.175,0.186,Kansas City,MO,703011
2025-09-30,0.0067,-0.161,Los Angeles,CA,10039107
2025-09-30,0.47,0.206,Chicago,IL,5150233
2025-09-30,0.245,0.0214,Dallas,TX,2635516
2025-09-30,0.238,0.126,Austin,TX,1273954
2025-09-30,0.197,0.0454,Charlotte,NC,1110356
2025-09-30,0.485,0.0547,Boston,MA,803907
2025-09-30,0.201,-0.00358,Denver,CO,727211
2025-09-30,0.335,0.103,Atlanta,GA,1063937
2025-09-30,0.198,0.199,Kansas City,MO,703011
2025-10-31,0.0135,-0.136,Los Angeles,CA,10039107
2025-10-31,0.449,0.197,Chicago,IL,5150233
2025-10-31,0.251,0.0547,Dallas,TX,2635516
2025-10-31,0.234,0.186,Austin,TX,1273954
2025-10-31,0.197,0.0757,Charlotte,NC,1110356
2025-10-31,0.466,0.152,Boston,MA,803907
2025-10-31,0.196,0.0301,Denver,CO,727211
2025-10-31,0.363,0.194,Atlanta,GA,1063937
2025-10-31,0.152,0.202,Kansas City,MO,703011
2025-11-30,-0.0177,-0.158,Los Angeles,CA,10039107
2025-11-30,0.383,0.183,Chicago,IL,5150233
2025-11-30,0.221,0.0103,Dallas,TX,2635516
2025-11-30,0.21,0.141,Austin,TX,1273954
2025-11-30,0.134,0.0358,Charlotte,NC,1110356
2025-11-30,0.543,0.214,Boston,MA,803907
2025-11-30,0.18,-0.0184,Denver,CO,727211
2025-11-30,0.343,0.124,Atlanta,GA,1063937
2025-11-30,0.107,0.0238,Kansas City,MO,703011
2025-12-31,-0.0224,-0.142,Los Angeles,CA,10039107
2025-12-31,0.376,0.147,Chicago,IL,5150233
2025-12-31,0.176,-0.0323,Dallas,TX,2635516
2025-12-31,0.2,0.144,Austin,TX,1273954
2025-12-31,0.1,-0.0179,Charlotte,NC,1110356
